step,cell_position,cell_type,population_size,health_level,resource_consumption,pollution_generation
0,"(0, 0)",city,207,100.0,1.0,0.5
0,"(0, 3)",city,377,100.0,1.0,0.5
0,"(0, 4)",city,208,100.0,1.0,0.5
0,"(0, 6)",city,368,100.0,1.0,0.5
0,"(0, 9)",city,427,100.0,1.0,0.5
0,"(1, 6)",city,418,100.0,1.0,0.5
0,"(1, 7)",city,491,100.0,1.0,0.5
0,"(2, 1)",city,213,100.0,1.0,0.5
0,"(2, 3)",city,456,100.0,1.0,0.5
0,"(2, 4)",city,314,100.0,1.0,0.5
0,"(2, 9)",city,382,100.0,1.0,0.5
0,"(3, 4)",city,268,100.0,1.0,0.5
0,"(3, 5)",city,441,100.0,1.0,0.5
0,"(4, 6)",city,426,100.0,1.0,0.5
0,"(4, 7)",city,245,100.0,1.0,0.5
0,"(5, 2)",city,404,100.0,1.0,0.5
0,"(5, 3)",city,404,100.0,1.0,0.5
0,"(5, 7)",city,486,100.0,1.0,0.5
0,"(6, 0)",city,461,100.0,1.0,0.5
0,"(6, 4)",city,379,100.0,1.0,0.5
0,"(6, 9)",city,225,100.0,1.0,0.5
0,"(8, 0)",city,376,100.0,1.0,0.5
0,"(8, 2)",city,221,100.0,1.0,0.5
0,"(8, 3)",city,268,100.0,1.0,0.5
0,"(8, 4)",city,457,100.0,1.0,0.5
0,"(8, 5)",city,354,100.0,1.0,0.5
0,"(9, 3)",city,402,100.0,1.0,0.5
0,"(9, 4)",city,218,100.0,1.0,0.5
0,"(9, 6)",city,274,100.0,1.0,0.5
1,"(0, 0)",city,207,100.0,1.0,0.5
1,"(0, 3)",city,377,100.0,1.0,0.5
1,"(0, 4)",city,208,100.0,1.0,0.5
1,"(0, 6)",city,368,100.0,1.0,0.5
1,"(0, 9)",city,427,100.0,1.0,0.5
1,"(1, 6)",city,418,100.0,1.0,0.5
1,"(1, 7)",city,491,100.0,1.0,0.5
1,"(2, 1)",city,213,100.0,1.0,0.5
1,"(2, 3)",city,456,100.0,1.0,0.5
1,"(2, 4)",city,314,100.0,1.0,0.5
1,"(2, 9)",city,382,100.0,1.0,0.5
1,"(3, 4)",city,268,100.0,1.0,0.5
1,"(3, 5)",city,441,100.0,1.0,0.5
1,"(4, 6)",city,426,100.0,1.0,0.5
1,"(4, 7)",city,245,100.0,1.0,0.5
1,"(5, 2)",city,404,100.0,1.0,0.5
1,"(5, 3)",city,404,100.0,1.0,0.5
1,"(5, 7)",city,486,100.0,1.0,0.5
1,"(6, 0)",city,461,100.0,1.0,0.5
1,"(6, 4)",city,379,100.0,1.0,0.5
1,"(6, 9)",city,225,100.0,1.0,0.5
1,"(8, 0)",city,376,100.0,1.0,0.5
1,"(8, 2)",city,221,100.0,1.0,0.5
1,"(8, 3)",city,268,100.0,1.0,0.5
1,"(8, 4)",city,457,100.0,1.0,0.5
1,"(8, 5)",city,354,100.0,1.0,0.5
1,"(9, 3)",city,402,100.0,1.0,0.5
1,"(9, 4)",city,218,100.0,1.0,0.5
1,"(9, 6)",city,274,100.0,1.0,0.5
2,"(0, 0)",city,207,100.0,1.0,0.5
2,"(0, 3)",city,377,100.0,1.0,0.5
2,"(0, 4)",city,208,100.0,1.0,0.5
