step,position,health_level,resource_level,air_pollution,ground_pollution
0,"(0, 0)",100.0,100.0,0.0,0.0
0,"(0, 3)",100.0,100.0,0.0,0.0
0,"(0, 4)",100.0,100.0,0.0,0.0
0,"(0, 6)",100.0,100.0,0.0,0.0
0,"(0, 9)",100.0,100.0,0.0,0.0
0,"(1, 6)",100.0,100.0,0.0,0.0
0,"(1, 7)",100.0,100.0,0.0,0.0
0,"(2, 1)",100.0,100.0,0.0,0.0
0,"(2, 3)",100.0,100.0,0.0,0.0
0,"(2, 4)",100.0,100.0,0.0,0.0
0,"(2, 9)",100.0,100.0,0.0,0.0
0,"(3, 4)",100.0,100.0,0.0,0.0
0,"(3, 5)",100.0,100.0,0.0,0.0
0,"(4, 6)",100.0,100.0,0.0,0.0
0,"(4, 7)",100.0,100.0,0.0,0.0
0,"(5, 2)",100.0,100.0,0.0,0.0
0,"(5, 3)",100.0,100.0,0.0,0.0
0,"(5, 7)",100.0,100.0,0.0,0.0
0,"(6, 0)",100.0,100.0,0.0,0.0
0,"(6, 4)",100.0,100.0,0.0,0.0
0,"(6, 9)",100.0,100.0,0.0,0.0
0,"(8, 0)",100.0,100.0,0.0,0.0
0,"(8, 2)",100.0,100.0,0.0,0.0
0,"(8, 3)",100.0,100.0,0.0,0.0
0,"(8, 4)",100.0,100.0,0.0,0.0
0,"(8, 5)",100.0,100.0,0.0,0.0
0,"(9, 3)",100.0,100.0,0.0,0.0
0,"(9, 4)",100.0,100.0,0.0,0.0
0,"(9, 6)",100.0,100.0,0.0,0.0
1,"(0, 0)",100.0,100.0,0.0,0.0
1,"(0, 3)",100.0,100.0,0.0,0.0
1,"(0, 4)",100.0,100.0,0.0,0.0
1,"(0, 6)",100.0,100.0,0.0,0.0
1,"(0, 9)",100.0,100.0,0.0,0.0
1,"(1, 6)",100.0,100.0,0.0,0.0
1,"(1, 7)",100.0,100.0,0.0,0.0
1,"(2, 1)",100.0,100.0,0.0,0.0
1,"(2, 3)",100.0,100.0,0.0,0.0
1,"(2, 4)",100.0,100.0,0.0,0.0
1,"(2, 9)",100.0,100.0,0.0,0.0
1,"(3, 4)",100.0,100.0,0.0,0.0
1,"(3, 5)",100.0,100.0,0.0,0.0
1,"(4, 6)",100.0,100.0,0.0,0.0
1,"(4, 7)",100.0,100.0,0.0,0.0
1,"(5, 2)",100.0,100.0,0.0,0.0
1,"(5, 3)",100.0,100.0,0.0,0.0
1,"(5, 7)",100.0,100.0,0.0,0.0
1,"(6, 0)",100.0,100.0,0.0,0.0
1,"(6, 4)",100.0,100.0,0.0,0.0
1,"(6, 9)",100.0,100.0,0.0,0.0
1,"(8, 0)",100.0,100.0,0.0,0.0
1,"(8, 2)",100.0,100.0,0.0,0.0
1,"(8, 3)",100.0,100.0,0.0,0.0
1,"(8, 4)",100.0,100.0,0.0,0.0
1,"(8, 5)",100.0,100.0,0.0,0.0
1,"(9, 3)",100.0,100.0,0.0,0.0
1,"(9, 4)",100.0,100.0,0.0,0.0
1,"(9, 6)",100.0,100.0,0.0,0.0
2,"(0, 0)",100.0,100.0,0.0,0.0
2,"(0, 3)",100.0,100.0,0.0,0.0
2,"(0, 4)",100.0,100.0,0.0,0.0
2,"(0, 6)",100.0,100.0,0.0,0.0
2,"(0, 9)",100.0,100.0,0.0,0.0
2,"(1, 6)",100.0,100.0,0.0,0.0
2,"(1, 7)",100.0,100.0,0.0,0.0
2,"(2, 1)",100.0,100.0,0.0,0.0
2,"(2, 3)",100.0,100.0,0.0,0.0
2,"(2, 4)",100.0,100.0,0.0,0.0
2,"(2, 9)",100.0,100.0,0.0,0.0
2,"(3, 4)",100.0,100.0,0.0,0.0
2,"(3, 5)",100.0,100.0,0.0,0.0
2,"(4, 6)",100.0,100.0,0.0,0.0
2,"(4, 7)",100.0,100.0,0.0,0.0
2,"(5, 2)",100.0,100.0,0.0,0.0
2,"(5, 3)",100.0,100.0,0.0,0.0
2,"(5, 7)",100.0,100.0,0.0,0.0
2,"(6, 0)",100.0,100.0,0.0,0.0
2,"(6, 4)",100.0,100.0,0.0,0.0
2,"(6, 9)",100.0,100.0,0.0,0.0
2,"(8, 0)",100.0,100.0,0.0,0.0
2,"(8, 2)",100.0,100.0,0.0,0.0
2,"(8, 3)",100.0,100.0,0.0,0.0
2,"(8, 4)",100.0,100.0,0.0,0.0
2,"(8, 5)",100.0,100.0,0.0,0.0
2,"(9, 3)",100.0,100.0,0.0,0.0
2,"(9, 4)",100.0,100.0,0.0,0.0
2,"(9, 6)",100.0,100.0,0.0,0.0
3,"(0, 0)",100.0,100.0,0.0,0.0
3,"(0, 3)",100.0,100.0,0.0,0.0
3,"(0, 4)",100.0,100.0,0.0,0.0
3,"(0, 6)",100.0,100.0,0.0,0.0
3,"(0, 9)",100.0,100.0,0.0,0.0
3,"(1, 6)",100.0,100.0,0.0,0.0
3,"(1, 7)",100.0,100.0,0.0,0.0
3,"(2, 1)",100.0,100.0,0.0,0.0
3,"(2, 3)",100.0,100.0,0.0,0.0
3,"(2, 4)",100.0,100.0,0.0,0.0
3,"(2, 9)",100.0,100.0,0.0,0.0
3,"(3, 4)",100.0,100.0,0.0,0.0
3,"(3, 5)",100.0,100.0,0.0,0.0
3,"(4, 6)",100.0,100.0,0.0,0.0
3,"(4, 7)",100.0,100.0,0.0,0.0
3,"(5, 2)",100.0,100.0,0.0,0.0
3,"(5, 3)",100.0,100.0,0.0,0.0
3,"(5, 7)",100.0,100.0,0.0,0.0
3,"(6, 0)",100.0,100.0,0.0,0.0
3,"(6, 4)",100.0,100.0,0.0,0.0
3,"(6, 9)",100.0,100.0,0.0,0.0
3,"(8, 0)",100.0,100.0,0.0,0.0
3,"(8, 2)",100.0,100.0,0.0,0.0
3,"(8, 3)",100.0,100.0,0.0,0.0
3,"(8, 4)",100.0,100.0,0.0,0.0
3,"(8, 5)",100.0,100.0,0.0,0.0
3,"(9, 3)",100.0,100.0,0.0,0.0
3,"(9, 4)",100.0,100.0,0.0,0.0
3,"(9, 6)",100.0,100.0,0.0,0.0
4,"(0, 0)",100.0,100.0,0.0,0.0
4,"(0, 3)",100.0,100.0,0.0,0.0
4,"(0, 4)",100.0,100.0,0.0,0.0
4,"(0, 6)",100.0,100.0,0.0,0.0
4,"(0, 9)",100.0,100.0,0.0,0.0
4,"(1, 6)",100.0,100.0,0.0,0.0
4,"(1, 7)",100.0,100.0,0.0,0.0
4,"(2, 1)",100.0,100.0,0.0,0.0
4,"(2, 3)",100.0,100.0,0.0,0.0
4,"(2, 4)",100.0,100.0,0.0,0.0
4,"(2, 9)",100.0,100.0,0.0,0.0
4,"(3, 4)",100.0,100.0,0.0,0.0
4,"(3, 5)",100.0,100.0,0.0,0.0
4,"(4, 6)",100.0,100.0,0.0,0.0
4,"(4, 7)",100.0,100.0,0.0,0.0
4,"(5, 2)",100.0,100.0,0.0,0.0
4,"(5, 3)",100.0,100.0,0.0,0.0
4,"(5, 7)",100.0,100.0,0.0,0.0
4,"(6, 0)",100.0,100.0,0.0,0.0
4,"(6, 4)",100.0,100.0,0.0,0.0
4,"(6, 9)",100.0,100.0,0.0,0.0
4,"(8, 0)",100.0,100.0,0.0,0.0
4,"(8, 2)",100.0,100.0,0.0,0.0
4,"(8, 3)",100.0,100.0,0.0,0.0
4,"(8, 4)",100.0,100.0,0.0,0.0
4,"(8, 5)",100.0,100.0,0.0,0.0
4,"(9, 3)",100.0,100.0,0.0,0.0
4,"(9, 4)",100.0,100.0,0.0,0.0
4,"(9, 6)",100.0,100.0,0.0,0.0
5,"(0, 0)",100.0,100.0,0.0,0.0
5,"(0, 3)",100.0,100.0,0.0,0.0
5,"(0, 4)",100.0,100.0,0.0,0.0
5,"(0, 6)",100.0,100.0,0.0,0.0
5,"(0, 9)",100.0,100.0,0.0,0.0
5,"(1, 6)",100.0,100.0,0.0,0.0
5,"(1, 7)",100.0,100.0,0.0,0.0
5,"(2, 1)",100.0,100.0,0.0,0.0
5,"(2, 3)",100.0,100.0,0.0,0.0
5,"(2, 4)",100.0,100.0,0.0,0.0
5,"(2, 9)",100.0,100.0,0.0,0.0
5,"(3, 4)",100.0,100.0,0.0,0.0
5,"(3, 5)",100.0,100.0,0.0,0.0
5,"(4, 6)",100.0,100.0,0.0,0.0
5,"(4, 7)",100.0,100.0,0.0,0.0
5,"(5, 2)",100.0,100.0,0.0,0.0
5,"(5, 3)",100.0,100.0,0.0,0.0
5,"(5, 7)",100.0,100.0,0.0,0.0
5,"(6, 0)",100.0,100.0,0.0,0.0
5,"(6, 4)",100.0,100.0,0.0,0.0
5,"(6, 9)",100.0,100.0,0.0,0.0
5,"(8, 0)",100.0,100.0,0.0,0.0
5,"(8, 2)",100.0,100.0,0.0,0.0
5,"(8, 3)",100.0,100.0,0.0,0.0
5,"(8, 4)",100.0,100.0,0.0,0.0
5,"(8, 5)",100.0,100.0,0.0,0.0
5,"(9, 3)",100.0,100.0,0.0,0.0
5,"(9, 4)",100.0,100.0,0.0,0.0
5,"(9, 6)",100.0,100.0,0.0,0.0
6,"(0, 0)",100.0,100.0,0.0,0.0
6,"(0, 3)",100.0,100.0,0.0,0.0
6,"(0, 4)",100.0,100.0,0.0,0.0
6,"(0, 6)",100.0,100.0,0.0,0.0
6,"(0, 9)",100.0,100.0,0.0,0.0
6,"(1, 6)",100.0,100.0,0.0,0.0
6,"(1, 7)",100.0,100.0,0.0,0.0
6,"(2, 1)",100.0,100.0,0.0,0.0
6,"(2, 3)",100.0,100.0,0.0,0.0
6,"(2, 4)",100.0,100.0,0.0,0.0
6,"(2, 9)",100.0,100.0,0.0,0.0
6,"(3, 4)",100.0,100.0,0.0,0.0
6,"(3, 5)",100.0,100.0,0.0,0.0
6,"(4, 6)",100.0,100.0,0.0,0.0
6,"(4, 7)",100.0,100.0,0.0,0.0
6,"(5, 2)",100.0,100.0,0.0,0.0
6,"(5, 3)",100.0,100.0,0.0,0.0
6,"(5, 7)",100.0,100.0,0.0,0.0
6,"(6, 0)",100.0,100.0,0.0,0.0
6,"(6, 4)",100.0,100.0,0.0,0.0
6,"(6, 9)",100.0,100.0,0.0,0.0
6,"(8, 0)",100.0,100.0,0.0,0.0
6,"(8, 2)",100.0,100.0,0.0,0.0
6,"(8, 3)",100.0,100.0,0.0,0.0
6,"(8, 4)",100.0,100.0,0.0,0.0
6,"(8, 5)",100.0,100.0,0.0,0.0
6,"(9, 3)",100.0,100.0,0.0,0.0
6,"(9, 4)",100.0,100.0,0.0,0.0
6,"(9, 6)",100.0,100.0,0.0,0.0
7,"(0, 0)",100.0,100.0,0.0,0.0
7,"(0, 3)",100.0,100.0,0.0,0.0
7,"(0, 4)",100.0,100.0,0.0,0.0
7,"(0, 6)",100.0,100.0,0.0,0.0
7,"(0, 9)",100.0,100.0,0.0,0.0
7,"(1, 6)",100.0,100.0,0.0,0.0
7,"(1, 7)",100.0,100.0,0.0,0.0
7,"(2, 1)",100.0,100.0,0.0,0.0
7,"(2, 3)",100.0,100.0,0.0,0.0
7,"(2, 4)",100.0,100.0,0.0,0.0
7,"(2, 9)",100.0,100.0,0.0,0.0
7,"(3, 4)",100.0,100.0,0.0,0.0
7,"(3, 5)",100.0,100.0,0.0,0.0
7,"(4, 6)",100.0,100.0,0.0,0.0
7,"(4, 7)",100.0,100.0,0.0,0.0
7,"(5, 2)",100.0,100.0,0.0,0.0
7,"(5, 3)",100.0,100.0,0.0,0.0
