step,position,health_level,resource_level,air_pollution,ground_pollution
0,"(0, 7)",100.0,100,0.0,0.0
0,"(1, 4)",100.0,100,0.0,0.0
0,"(1, 8)",100.0,100,0.0,0.0
0,"(2, 5)",100.0,100,0.0,0.0
0,"(3, 2)",100.0,100,0.0,0.0
0,"(3, 6)",100.0,100,0.0,0.0
0,"(3, 9)",100.0,100,0.0,0.0
0,"(4, 0)",100.0,100,0.0,0.0
0,"(4, 3)",100.0,100,0.0,0.0
0,"(4, 4)",100.0,100,0.0,0.0
0,"(4, 9)",100.0,100,0.0,0.0
0,"(5, 0)",100.0,100,0.0,0.0
0,"(5, 1)",100.0,100,0.0,0.0
0,"(5, 6)",100.0,100,0.0,0.0
0,"(6, 5)",100.0,100,0.0,0.0
0,"(7, 0)",100.0,100,0.0,0.0
0,"(7, 2)",100.0,100,0.0,0.0
0,"(7, 4)",100.0,100,0.0,0.0
0,"(7, 6)",100.0,100,0.0,0.0
0,"(7, 8)",100.0,100,0.0,0.0
0,"(8, 8)",100.0,100,0.0,0.0
0,"(8, 9)",100.0,100,0.0,0.0
0,"(9, 1)",100.0,100,0.0,0.0
0,"(9, 2)",100.0,100,0.0,0.0
1,"(0, 7)",100.0,100,0.0,0.0
1,"(1, 4)",100.0,100,0.0,0.0
1,"(1, 8)",100.0,100,0.0,0.0
1,"(2, 5)",100.0,100,0.0,0.0
1,"(3, 2)",100.0,100,0.0,0.0
1,"(3, 6)",100.0,100,0.0,0.0
1,"(3, 9)",100.0,100,0.0,0.0
1,"(4, 0)",100.0,100,0.0,0.0
1,"(4, 3)",100.0,100,0.0,0.0
1,"(4, 4)",100.0,100,0.0,0.0
1,"(4, 9)",100.0,100,0.0,0.0
1,"(5, 0)",100.0,100,0.0,0.0
1,"(5, 1)",100.0,100,0.0,0.0
1,"(5, 6)",100.0,100,0.0,0.0
1,"(6, 5)",100.0,100,0.0,0.0
1,"(7, 0)",100.0,100,0.0,0.0
1,"(7, 2)",100.0,100,0.0,0.0
1,"(7, 4)",100.0,100,0.0,0.0
1,"(7, 6)",100.0,100,0.0,0.0
1,"(7, 8)",100.0,100,0.0,0.0
1,"(8, 8)",100.0,100,0.0,0.0
1,"(8, 9)",100.0,100,0.0,0.0
1,"(9, 1)",100.0,100,0.0,0.0
1,"(9, 2)",100.0,100,0.0,0.0
2,"(0, 7)",100.0,100,0.0,0.0
