step,cell_position,cell_type,population_size,health_level,resource_consumption,pollution_generation
0,"(0, 1)",lake,773,100.0,0.3,0.0
0,"(0, 8)",lake,942,100.0,0.3,0.0
0,"(1, 1)",lake,783,100.0,0.3,0.0
0,"(1, 3)",lake,730,100.0,0.3,0.0
0,"(1, 5)",lake,881,100.0,0.3,0.0
0,"(1, 9)",lake,948,100.0,0.3,0.0
0,"(2, 0)",lake,873,100.0,0.3,0.0
0,"(2, 6)",lake,748,100.0,0.3,0.0
0,"(2, 7)",lake,762,100.0,0.3,0.0
0,"(2, 8)",lake,910,100.0,0.3,0.0
0,"(3, 8)",lake,763,100.0,0.3,0.0
0,"(4, 2)",lake,924,100.0,0.3,0.0
0,"(5, 4)",lake,930,100.0,0.3,0.0
0,"(5, 5)",lake,733,100.0,0.3,0.0
0,"(5, 8)",lake,991,100.0,0.3,0.0
0,"(6, 1)",lake,952,100.0,0.3,0.0
0,"(6, 6)",lake,963,100.0,0.3,0.0
0,"(6, 7)",lake,771,100.0,0.3,0.0
0,"(7, 7)",lake,831,100.0,0.3,0.0
0,"(8, 6)",lake,900,100.0,0.3,0.0
0,"(9, 5)",lake,940,100.0,0.3,0.0
0,"(9, 9)",lake,838,100.0,0.3,0.0
1,"(0, 1)",lake,773,100.0,0.3,0.0
1,"(0, 8)",lake,942,100.0,0.3,0.0
1,"(1, 1)",lake,783,100.0,0.3,0.0
1,"(1, 3)",lake,730,100.0,0.3,0.0
1,"(1, 5)",lake,881,100.0,0.3,0.0
1,"(1, 9)",lake,948,100.0,0.3,0.0
1,"(2, 0)",lake,873,100.0,0.3,0.0
1,"(2, 6)",lake,748,100.0,0.3,0.0
1,"(2, 7)",lake,762,100.0,0.3,0.0
1,"(2, 8)",lake,910,100.0,0.3,0.0
1,"(3, 8)",lake,763,100.0,0.3,0.0
1,"(4, 2)",lake,924,100.0,0.3,0.0
1,"(5, 4)",lake,930,100.0,0.3,0.0
1,"(5, 5)",lake,733,100.0,0.3,0.0
1,"(5, 8)",lake,991,100.0,0.3,0.0
1,"(6, 1)",lake,952,100.0,0.3,0.0
1,"(6, 6)",lake,963,100.0,0.3,0.0
1,"(6, 7)",lake,771,100.0,0.3,0.0
1,"(7, 7)",lake,831,100.0,0.3,0.0
1,"(8, 6)",lake,900,100.0,0.3,0.0
1,"(9, 5)",lake,940,100.0,0.3,0.0
1,"(9, 9)",lake,838,100.0,0.3,0.0
2,"(0, 1)",lake,773,100.0,0.3,0.0
2,"(0, 8)",lake,942,100.0,0.3,0.0
2,"(1, 1)",lake,783,100.0,0.3,0.0
2,"(1, 3)",lake,730,100.0,0.3,0.0
2,"(1, 5)",lake,881,100.0,0.3,0.0
2,"(1, 9)",lake,948,100.0,0.3,0.0
2,"(2, 0)",lake,873,100.0,0.3,0.0
2,"(2, 6)",lake,748,100.0,0.3,0.0
2,"(2, 7)",lake,762,100.0,0.3,0.0
2,"(2, 8)",lake,910,100.0,0.3,0.0
2,"(3, 8)",lake,763,100.0,0.3,0.0
2,"(4, 2)",lake,924,100.0,0.3,0.0
2,"(5, 4)",lake,930,100.0,0.3,0.0
2,"(5, 5)",lake,733,100.0,0.3,0.0
2,"(5, 8)",lake,991,100.0,0.3,0.0
2,"(6, 1)",lake,952,100.0,0.3,0.0
2,"(6, 6)",lake,963,100.0,0.3,0.0
2,"(6, 7)",lake,771,100.0,0.3,0.0
2,"(7, 7)",lake,831,100.0,0.3,0.0
2,"(8, 6)",lake,900,100.0,0.3,0.0
2,"(9, 5)",lake,940,100.0,0.3,0.0
2,"(9, 9)",lake,838,100.0,0.3,0.0
3,"(0, 1)",lake,773,100.0,0.3,0.0
3,"(0, 8)",lake,942,100.0,0.3,0.0
3,"(1, 1)",lake,783,100.0,0.3,0.0
3,"(1, 3)",lake,730,100.0,0.3,0.0
3,"(1, 5)",lake,881,100.0,0.3,0.0
3,"(1, 9)",lake,948,100.0,0.3,0.0
3,"(2, 0)",lake,873,100.0,0.3,0.0
3,"(2, 6)",lake,748,100.0,0.3,0.0
3,"(2, 7)",lake,762,100.0,0.3,0.0
3,"(2, 8)",lake,910,100.0,0.3,0.0
3,"(3, 8)",lake,763,100.0,0.3,0.0
3,"(4, 2)",lake,924,100.0,0.3,0.0
3,"(5, 4)",lake,930,100.0,0.3,0.0
3,"(5, 5)",lake,733,100.0,0.3,0.0
3,"(5, 8)",lake,991,100.0,0.3,0.0
3,"(6, 1)",lake,952,100.0,0.3,0.0
3,"(6, 6)",lake,963,100.0,0.3,0.0
3,"(6, 7)",lake,771,100.0,0.3,0.0
