step,cell_position,cell_type,population_size,health_level,resource_consumption,pollution_generation
0,"(0, 2)",forest,460,100.0,0.1,0.0
0,"(0, 5)",forest,384,100.0,0.1,0.0
0,"(1, 0)",forest,454,100.0,0.1,0.0
0,"(1, 2)",forest,493,100.0,0.1,0.0
0,"(2, 2)",forest,465,100.0,0.1,0.0
0,"(3, 0)",forest,430,100.0,0.1,0.0
0,"(3, 1)",forest,374,100.0,0.1,0.0
0,"(3, 3)",forest,452,100.0,0.1,0.0
0,"(3, 7)",forest,486,100.0,0.1,0.0
0,"(4, 1)",forest,386,100.0,0.1,0.0
0,"(4, 5)",forest,426,100.0,0.1,0.0
0,"(4, 8)",forest,468,100.0,0.1,0.0
0,"(5, 9)",forest,426,100.0,0.1,0.0
0,"(6, 2)",forest,372,100.0,0.1,0.0
0,"(6, 3)",forest,430,100.0,0.1,0.0
0,"(6, 8)",forest,481,100.0,0.1,0.0
0,"(7, 1)",forest,369,100.0,0.1,0.0
0,"(7, 3)",forest,389,100.0,0.1,0.0
0,"(7, 5)",forest,456,100.0,0.1,0.0
0,"(7, 9)",forest,359,100.0,0.1,0.0
0,"(8, 1)",forest,438,100.0,0.1,0.0
0,"(8, 7)",forest,430,100.0,0.1,0.0
0,"(9, 0)",forest,364,100.0,0.1,0.0
0,"(9, 7)",forest,430,100.0,0.1,0.0
0,"(9, 8)",forest,413,100.0,0.1,0.0
1,"(0, 2)",forest,460,100.0,0.1,0.0
1,"(0, 5)",forest,384,100.0,0.1,0.0
1,"(1, 0)",forest,454,100.0,0.1,0.0
1,"(1, 2)",forest,493,100.0,0.1,0.0
1,"(2, 2)",forest,465,100.0,0.1,0.0
1,"(3, 0)",forest,430,100.0,0.1,0.0
1,"(3, 1)",forest,374,100.0,0.1,0.0
1,"(3, 3)",forest,452,100.0,0.1,0.0
1,"(3, 7)",forest,486,100.0,0.1,0.0
1,"(4, 1)",forest,386,100.0,0.1,0.0
1,"(4, 5)",forest,426,100.0,0.1,0.0
1,"(4, 8)",forest,468,100.0,0.1,0.0
1,"(5, 9)",forest,426,100.0,0.1,0.0
1,"(6, 2)",forest,372,100.0,0.1,0.0
1,"(6, 3)",forest,430,100.0,0.1,0.0
1,"(6, 8)",forest,481,100.0,0.1,0.0
1,"(7, 1)",forest,369,100.0,0.1,0.0
1,"(7, 3)",forest,389,100.0,0.1,0.0
1,"(7, 5)",forest,456,100.0,0.1,0.0
1,"(7, 9)",forest,359,100.0,0.1,0.0
1,"(8, 1)",forest,438,100.0,0.1,0.0
1,"(8, 7)",forest,430,100.0,0.1,0.0
1,"(9, 0)",forest,364,100.0,0.1,0.0
1,"(9, 7)",forest,430,100.0,0.1,0.0
1,"(9, 8)",forest,413,100.0,0.1,0.0
2,"(0, 2)",forest,460,100.0,0.1,0.0
2,"(0, 5)",forest,384,100.0,0.1,0.0
2,"(1, 0)",forest,454,100.0,0.1,0.0
2,"(1, 2)",forest,493,100.0,0.1,0.0
2,"(2, 2)",forest,465,100.0,0.1,0.0
2,"(3, 0)",forest,430,100.0,0.1,0.0
2,"(3, 1)",forest,374,100.0,0.1,0.0
2,"(3, 3)",forest,452,100.0,0.1,0.0
2,"(3, 7)",forest,486,100.0,0.1,0.0
2,"(4, 1)",forest,386,100.0,0.1,0.0
2,"(4, 5)",forest,426,100.0,0.1,0.0
2,"(4, 8)",forest,468,100.0,0.1,0.0
2,"(5, 9)",forest,426,100.0,0.1,0.0
2,"(6, 2)",forest,372,100.0,0.1,0.0
2,"(6, 3)",forest,430,100.0,0.1,0.0
2,"(6, 8)",forest,481,100.0,0.1,0.0
2,"(7, 1)",forest,369,100.0,0.1,0.0
2,"(7, 3)",forest,389,100.0,0.1,0.0
2,"(7, 5)",forest,456,100.0,0.1,0.0
2,"(7, 9)",forest,359,100.0,0.1,0.0
2,"(8, 1)",forest,438,100.0,0.1,0.0
2,"(8, 7)",forest,430,100.0,0.1,0.0
2,"(9, 0)",forest,364,100.0,0.1,0.0
2,"(9, 7)",forest,430,100.0,0.1,0.0
2,"(9, 8)",forest,413,100.0,0.1,0.0
3,"(0, 2)",forest,460,100.0,0.1,0.0
3,"(0, 5)",forest,384,100.0,0.1,0.0
3,"(1, 0)",forest,454,100.0,0.1,0.0
3,"(1, 2)",forest,493,100.0,0.1,0.0
3,"(2, 2)",forest,465,100.0,0.1,0.0
3,"(3, 0)",forest,430,100.0,0.1,0.0
3,"(3, 1)",forest,374,100.0,0.1,0.0
3,"(3, 3)",forest,452,100.0,0.1,0.0
3,"(3, 7)",forest,486,100.0,0.1,0.0
3,"(4, 1)",forest,386,100.0,0.1,0.0
3,"(4, 5)",forest,426,100.0,0.1,0.0
3,"(4, 8)",forest,468,100.0,0.1,0.0
3,"(5, 9)",forest,426,100.0,0.1,0.0
3,"(6, 2)",forest,372,100.0,0.1,0.0
3,"(6, 3)",forest,430,100.0,0.1,0.0
3,"(6, 8)",forest,481,100.0,0.1,0.0
3,"(7, 1)",forest,369,100.0,0.1,0.0
3,"(7, 3)",forest,389,100.0,0.1,0.0
3,"(7, 5)",forest,456,100.0,0.1,0.0
3,"(7, 9)",forest,359,100.0,0.1,0.0
3,"(8, 1)",forest,438,100.0,0.1,0.0
3,"(8, 7)",forest,430,100.0,0.1,0.0
3,"(9, 0)",forest,364,100.0,0.1,0.0
3,"(9, 7)",forest,430,100.0,0.1,0.0
3,"(9, 8)",forest,413,100.0,0.1,0.0
4,"(0, 2)",forest,460,100.0,0.1,0.0
4,"(0, 5)",forest,384,100.0,0.1,0.0
4,"(1, 0)",forest,454,100.0,0.1,0.0
4,"(1, 2)",forest,493,100.0,0.1,0.0
4,"(2, 2)",forest,465,100.0,0.1,0.0
4,"(3, 0)",forest,430,100.0,0.1,0.0
4,"(3, 1)",forest,374,100.0,0.1,0.0
4,"(3, 3)",forest,452,100.0,0.1,0.0
4,"(3, 7)",forest,486,100.0,0.1,0.0
4,"(4, 1)",forest,386,100.0,0.1,0.0
4,"(4, 5)",forest,426,100.0,0.1,0.0
4,"(4, 8)",forest,468,100.0,0.1,0.0
4,"(5, 9)",forest,426,100.0,0.1,0.0
4,"(6, 2)",forest,372,100.0,0.1,0.0
4,"(6, 3)",forest,430,100.0,0.1,0.0
4,"(6, 8)",forest,481,100.0,0.1,0.0
4,"(7, 1)",forest,369,100.0,0.1,0.0
4,"(7, 3)",forest,389,100.0,0.1,0.0
4,"(7, 5)",forest,456,100.0,0.1,0.0
4,"(7, 9)",forest,359,100.0,0.1,0.0
4,"(8, 1)",forest,438,100.0,0.1,0.0
4,"(8, 7)",forest,430,100.0,0.1,0.0
4,"(9, 0)",forest,364,100.0,0.1,0.0
4,"(9, 7)",forest,430,100.0,0.1,0.0
4,"(9, 8)",forest,413,100.0,0.1,0.0
5,"(0, 2)",forest,460,100.0,0.1,0.0
5,"(0, 5)",forest,384,100.0,0.1,0.0
5,"(1, 0)",forest,454,100.0,0.1,0.0
5,"(1, 2)",forest,493,100.0,0.1,0.0
5,"(2, 2)",forest,465,100.0,0.1,0.0
5,"(3, 0)",forest,430,100.0,0.1,0.0
5,"(3, 1)",forest,374,100.0,0.1,0.0
5,"(3, 3)",forest,452,100.0,0.1,0.0
5,"(3, 7)",forest,486,100.0,0.1,0.0
5,"(4, 1)",forest,386,100.0,0.1,0.0
5,"(4, 5)",forest,426,100.0,0.1,0.0
5,"(4, 8)",forest,468,100.0,0.1,0.0
5,"(5, 9)",forest,426,100.0,0.1,0.0
5,"(6, 2)",forest,372,100.0,0.1,0.0
5,"(6, 3)",forest,430,100.0,0.1,0.0
5,"(6, 8)",forest,481,100.0,0.1,0.0
5,"(7, 1)",forest,369,100.0,0.1,0.0
5,"(7, 3)",forest,389,100.0,0.1,0.0
5,"(7, 5)",forest,456,100.0,0.1,0.0
5,"(7, 9)",forest,359,100.0,0.1,0.0
5,"(8, 1)",forest,438,100.0,0.1,0.0
5,"(8, 7)",forest,430,100.0,0.1,0.0
5,"(9, 0)",forest,364,100.0,0.1,0.0
5,"(9, 7)",forest,430,100.0,0.1,0.0
5,"(9, 8)",forest,413,100.0,0.1,0.0
6,"(0, 2)",forest,460,100.0,0.1,0.0
6,"(0, 5)",forest,384,100.0,0.1,0.0
6,"(1, 0)",forest,454,100.0,0.1,0.0
6,"(1, 2)",forest,493,100.0,0.1,0.0
6,"(2, 2)",forest,465,100.0,0.1,0.0
6,"(3, 0)",forest,430,100.0,0.1,0.0
6,"(3, 1)",forest,374,100.0,0.1,0.0
6,"(3, 3)",forest,452,100.0,0.1,0.0
6,"(3, 7)",forest,486,100.0,0.1,0.0
6,"(4, 1)",forest,386,100.0,0.1,0.0
6,"(4, 5)",forest,426,100.0,0.1,0.0
6,"(4, 8)",forest,468,100.0,0.1,0.0
6,"(5, 9)",forest,426,100.0,0.1,0.0
6,"(6, 2)",forest,372,100.0,0.1,0.0
6,"(6, 3)",forest,430,100.0,0.1,0.0
6,"(6, 8)",forest,481,100.0,0.1,0.0
6,"(7, 1)",forest,369,100.0,0.1,0.0
6,"(7, 3)",forest,389,100.0,0.1,0.0
6,"(7, 5)",forest,456,100.0,0.1,0.0
6,"(7, 9)",forest,359,100.0,0.1,0.0
6,"(8, 1)",forest,438,100.0,0.1,0.0
6,"(8, 7)",forest,430,100.0,0.1,0.0
6,"(9, 0)",forest,364,100.0,0.1,0.0
6,"(9, 7)",forest,430,100.0,0.1,0.0
6,"(9, 8)",forest,413,100.0,0.1,0.0
7,"(0, 2)",forest,460,100.0,0.1,0.0
7,"(0, 5)",forest,384,100.0,0.1,0.0
7,"(1, 0)",forest,454,100.0,0.1,0.0
7,"(1, 2)",forest,493,100.0,0.1,0.0
7,"(2, 2)",forest,465,100.0,0.1,0.0
7,"(3, 0)",forest,430,100.0,0.1,0.0
7,"(3, 1)",forest,374,100.0,0.1,0.0
7,"(3, 3)",forest,452,100.0,0.1,0.0
7,"(3, 7)",forest,486,100.0,0.1,0.0
7,"(4, 1)",forest,386,100.0,0.1,0.0
7,"(4, 5)",forest,426,100.0,0.1,0.0
7,"(4, 8)",forest,468,100.0,0.1,0.0
7,"(5, 9)",forest,426,100.0,0.1,0.0
7,"(6, 2)",forest,372,100.0,0.1,0.0
7,"(6, 3)",forest,430,100.0,0.1,0.0
7,"(6, 8)",forest,481,100.0,0.1,0.0
7,"(7, 1)",forest,369,100.0,0.1,0.0
7,"(7, 3)",forest,389,100.0,0.1,0.0
7,"(7, 5)",forest,456,100.0,0.1,0.0
7,"(7, 9)",forest,359,100.0,0.1,0.0
7,"(8, 1)",forest,438,100.0,0.1,0.0
7,"(8, 7)",forest,430,100.0,0.1,0.0
7,"(9, 0)",forest,364,100.0,0.1,0.0
7,"(9, 7)",forest,430,100.0,0.1,0.0
7,"(9, 8)",forest,413,100.0,0.1,0.0
8,"(0, 2)",forest,460,100.0,0.1,0.0
8,"(0, 5)",forest,384,100.0,0.1,0.0
8,"(1, 0)",forest,454,100.0,0.1,0.0
8,"(1, 2)",forest,493,100.0,0.1,0.0
8,"(2, 2)",forest,465,100.0,0.1,0.0
8,"(3, 0)",forest,430,100.0,0.1,0.0
8,"(3, 1)",forest,374,100.0,0.1,0.0
8,"(3, 3)",forest,452,100.0,0.1,0.0
8,"(3, 7)",forest,486,100.0,0.1,0.0
8,"(4, 1)",forest,386,100.0,0.1,0.0
8,"(4, 5)",forest,426,100.0,0.1,0.0
8,"(4, 8)",forest,468,100.0,0.1,0.0
8,"(5, 9)",forest,426,100.0,0.1,0.0
8,"(6, 2)",forest,372,100.0,0.1,0.0
8,"(6, 3)",forest,430,100.0,0.1,0.0
8,"(6, 8)",forest,481,100.0,0.1,0.0
8,"(7, 1)",forest,369,100.0,0.1,0.0
8,"(7, 3)",forest,389,100.0,0.1,0.0
8,"(7, 5)",forest,456,100.0,0.1,0.0
8,"(7, 9)",forest,359,100.0,0.1,0.0
8,"(8, 1)",forest,438,100.0,0.1,0.0
8,"(8, 7)",forest,430,100.0,0.1,0.0
8,"(9, 0)",forest,364,100.0,0.1,0.0
8,"(9, 7)",forest,430,100.0,0.1,0.0
8,"(9, 8)",forest,413,100.0,0.1,0.0
9,"(0, 2)",forest,460,100.0,0.1,0.0
9,"(0, 5)",forest,384,100.0,0.1,0.0
9,"(1, 0)",forest,454,100.0,0.1,0.0
9,"(1, 2)",forest,493,100.0,0.1,0.0
9,"(2, 2)",forest,465,100.0,0.1,0.0
9,"(3, 0)",forest,430,100.0,0.1,0.0
9,"(3, 1)",forest,374,100.0,0.1,0.0
9,"(3, 3)",forest,452,100.0,0.1,0.0
9,"(3, 7)",forest,486,100.0,0.1,0.0
9,"(4, 1)",forest,386,100.0,0.1,0.0
9,"(4, 5)",forest,426,100.0,0.1,0.0
9,"(4, 8)",forest,468,100.0,0.1,0.0
9,"(5, 9)",forest,426,100.0,0.1,0.0
9,"(6, 2)",forest,372,100.0,0.1,0.0
9,"(6, 3)",forest,430,100.0,0.1,0.0
9,"(6, 8)",forest,481,100.0,0.1,0.0
9,"(7, 1)",forest,369,100.0,0.1,0.0
9,"(7, 3)",forest,389,100.0,0.1,0.0
9,"(7, 5)",forest,456,100.0,0.1,0.0
9,"(7, 9)",forest,359,100.0,0.1,0.0
9,"(8, 1)",forest,438,100.0,0.1,0.0
9,"(8, 7)",forest,430,100.0,0.1,0.0
9,"(9, 0)",forest,364,100.0,0.1,0.0
9,"(9, 7)",forest,430,100.0,0.1,0.0
9,"(9, 8)",forest,413,100.0,0.1,0.0
10,"(0, 2)",forest,460,100.0,0.1,0.0
10,"(0, 5)",forest,384,100.0,0.1,0.0
10,"(1, 0)",forest,454,100.0,0.1,0.0
10,"(1, 2)",forest,493,100.0,0.1,0.0
10,"(2, 2)",forest,465,100.0,0.1,0.0
10,"(3, 0)",forest,430,100.0,0.1,0.0
10,"(3, 1)",forest,374,100.0,0.1,0.0
10,"(3, 3)",forest,452,100.0,0.1,0.0
10,"(3, 7)",forest,486,100.0,0.1,0.0
10,"(4, 1)",forest,386,100.0,0.1,0.0
10,"(4, 5)",forest,426,100.0,0.1,0.0
10,"(4, 8)",forest,468,100.0,0.1,0.0
10,"(5, 9)",forest,426,100.0,0.1,0.0
10,"(6, 2)",forest,372,100.0,0.1,0.0
10,"(6, 3)",forest,430,100.0,0.1,0.0
10,"(6, 8)",forest,481,100.0,0.1,0.0
10,"(7, 1)",forest,369,100.0,0.1,0.0
10,"(7, 3)",forest,389,100.0,0.1,0.0
10,"(7, 5)",forest,456,100.0,0.1,0.0
10,"(7, 9)",forest,359,100.0,0.1,0.0
10,"(8, 1)",forest,438,100.0,0.1,0.0
10,"(8, 7)",forest,430,100.0,0.1,0.0
10,"(9, 0)",forest,364,100.0,0.1,0.0
10,"(9, 7)",forest,430,100.0,0.1,0.0
10,"(9, 8)",forest,413,100.0,0.1,0.0
11,"(0, 2)",forest,460,100.0,0.1,0.0
11,"(0, 5)",forest,384,100.0,0.1,0.0
11,"(1, 0)",forest,454,100.0,0.1,0.0
11,"(1, 2)",forest,493,100.0,0.1,0.0
11,"(2, 2)",forest,465,100.0,0.1,0.0
11,"(3, 0)",forest,430,100.0,0.1,0.0
11,"(3, 1)",forest,374,100.0,0.1,0.0
11,"(3, 3)",forest,452,100.0,0.1,0.0
11,"(3, 7)",forest,486,100.0,0.1,0.0
11,"(4, 1)",forest,386,100.0,0.1,0.0
11,"(4, 5)",forest,426,100.0,0.1,0.0
11,"(4, 8)",forest,468,100.0,0.1,0.0
11,"(5, 9)",forest,426,100.0,0.1,0.0
11,"(6, 2)",forest,372,100.0,0.1,0.0
11,"(6, 3)",forest,430,100.0,0.1,0.0
11,"(6, 8)",forest,481,100.0,0.1,0.0
11,"(7, 1)",forest,369,100.0,0.1,0.0
11,"(7, 3)",forest,389,100.0,0.1,0.0
