step,cell_position,cell_type,population_size,health_level,resource_consumption,pollution_generation
0,"(0, 7)",land,383,100.0,0.5,0.1
0,"(1, 4)",land,364,100.0,0.5,0.1
0,"(1, 8)",land,361,100.0,0.5,0.1
0,"(2, 5)",land,445,100.0,0.5,0.1
0,"(3, 2)",land,390,100.0,0.5,0.1
0,"(3, 6)",land,390,100.0,0.5,0.1
0,"(3, 9)",land,409,100.0,0.5,0.1
0,"(4, 0)",land,371,100.0,0.5,0.1
0,"(4, 3)",land,484,100.0,0.5,0.1
0,"(4, 4)",land,404,100.0,0.5,0.1
0,"(4, 9)",land,439,100.0,0.5,0.1
0,"(5, 0)",land,407,100.0,0.5,0.1
0,"(5, 1)",land,429,100.0,0.5,0.1
0,"(5, 6)",land,373,100.0,0.5,0.1
0,"(6, 5)",land,352,100.0,0.5,0.1
0,"(7, 0)",land,472,100.0,0.5,0.1
0,"(7, 2)",land,492,100.0,0.5,0.1
0,"(7, 4)",land,494,100.0,0.5,0.1
0,"(7, 6)",land,499,100.0,0.5,0.1
0,"(7, 8)",land,368,100.0,0.5,0.1
0,"(8, 8)",land,386,100.0,0.5,0.1
0,"(8, 9)",land,471,100.0,0.5,0.1
0,"(9, 1)",land,403,100.0,0.5,0.1
0,"(9, 2)",land,420,100.0,0.5,0.1
1,"(0, 7)",land,383,100.0,0.5,0.1
1,"(1, 4)",land,364,100.0,0.5,0.1
1,"(1, 8)",land,361,100.0,0.5,0.1
1,"(2, 5)",land,445,100.0,0.5,0.1
1,"(3, 2)",land,390,100.0,0.5,0.1
1,"(3, 6)",land,390,100.0,0.5,0.1
1,"(3, 9)",land,409,100.0,0.5,0.1
1,"(4, 0)",land,371,100.0,0.5,0.1
1,"(4, 3)",land,484,100.0,0.5,0.1
1,"(4, 4)",land,404,100.0,0.5,0.1
1,"(4, 9)",land,439,100.0,0.5,0.1
1,"(5, 0)",land,407,100.0,0.5,0.1
1,"(5, 1)",land,429,100.0,0.5,0.1
1,"(5, 6)",land,373,100.0,0.5,0.1
1,"(6, 5)",land,352,100.0,0.5,0.1
1,"(7, 0)",land,472,100.0,0.5,0.1
1,"(7, 2)",land,492,100.0,0.5,0.1
1,"(7, 4)",land,494,100.0,0.5,0.1
1,"(7, 6)",land,499,100.0,0.5,0.1
1,"(7, 8)",land,368,100.0,0.5,0.1
1,"(8, 8)",land,386,100.0,0.5,0.1
1,"(8, 9)",land,471,100.0,0.5,0.1
1,"(9, 1)",land,403,100.0,0.5,0.1
1,"(9, 2)",land,420,100.0,0.5,0.1
2,"(0, 7)",land,383,100.0,0.5,0.1
2,"(1, 4)",land,364,100.0,0.5,0.1
2,"(1, 8)",land,361,100.0,0.5,0.1
2,"(2, 5)",land,445,100.0,0.5,0.1
2,"(3, 2)",land,390,100.0,0.5,0.1
2,"(3, 6)",land,390,100.0,0.5,0.1
2,"(3, 9)",land,409,100.0,0.5,0.1
2,"(4, 0)",land,371,100.0,0.5,0.1
2,"(4, 3)",land,484,100.0,0.5,0.1
2,"(4, 4)",land,404,100.0,0.5,0.1
2,"(4, 9)",land,439,100.0,0.5,0.1
2,"(5, 0)",land,407,100.0,0.5,0.1
2,"(5, 1)",land,429,100.0,0.5,0.1
2,"(5, 6)",land,373,100.0,0.5,0.1
2,"(6, 5)",land,352,100.0,0.5,0.1
2,"(7, 0)",land,472,100.0,0.5,0.1
2,"(7, 2)",land,492,100.0,0.5,0.1
2,"(7, 4)",land,494,100.0,0.5,0.1
2,"(7, 6)",land,499,100.0,0.5,0.1
2,"(7, 8)",land,368,100.0,0.5,0.1
2,"(8, 8)",land,386,100.0,0.5,0.1
2,"(8, 9)",land,471,100.0,0.5,0.1
2,"(9, 1)",land,403,100.0,0.5,0.1
2,"(9, 2)",land,420,100.0,0.5,0.1
3,"(0, 7)",land,383,100.0,0.5,0.1
3,"(1, 4)",land,364,100.0,0.5,0.1
3,"(1, 8)",land,361,100.0,0.5,0.1
3,"(2, 5)",land,445,100.0,0.5,0.1
3,"(3, 2)",land,390,100.0,0.5,0.1
3,"(3, 6)",land,390,100.0,0.5,0.1
3,"(3, 9)",land,409,100.0,0.5,0.1
3,"(4, 0)",land,371,100.0,0.5,0.1
3,"(4, 3)",land,484,100.0,0.5,0.1
3,"(4, 4)",land,404,100.0,0.5,0.1
3,"(4, 9)",land,439,100.0,0.5,0.1
3,"(5, 0)",land,407,100.0,0.5,0.1
3,"(5, 1)",land,429,100.0,0.5,0.1
3,"(5, 6)",land,373,100.0,0.5,0.1
3,"(6, 5)",land,352,100.0,0.5,0.1
3,"(7, 0)",land,472,100.0,0.5,0.1
3,"(7, 2)",land,492,100.0,0.5,0.1
3,"(7, 4)",land,494,100.0,0.5,0.1
3,"(7, 6)",land,499,100.0,0.5,0.1
3,"(7, 8)",land,368,100.0,0.5,0.1
3,"(8, 8)",land,386,100.0,0.5,0.1
3,"(8, 9)",land,471,100.0,0.5,0.1
3,"(9, 1)",land,403,100.0,0.5,0.1
3,"(9, 2)",land,420,100.0,0.5,0.1
4,"(0, 7)",land,383,100.0,0.5,0.1
4,"(1, 4)",land,364,100.0,0.5,0.1
4,"(1, 8)",land,361,100.0,0.5,0.1
4,"(2, 5)",land,445,100.0,0.5,0.1
4,"(3, 2)",land,390,100.0,0.5,0.1
4,"(3, 6)",land,390,100.0,0.5,0.1
4,"(3, 9)",land,409,100.0,0.5,0.1
4,"(4, 0)",land,371,100.0,0.5,0.1
4,"(4, 3)",land,484,100.0,0.5,0.1
4,"(4, 4)",land,404,100.0,0.5,0.1
4,"(4, 9)",land,439,100.0,0.5,0.1
4,"(5, 0)",land,407,100.0,0.5,0.1
4,"(5, 1)",land,429,100.0,0.5,0.1
4,"(5, 6)",land,373,100.0,0.5,0.1
4,"(6, 5)",land,352,100.0,0.5,0.1
4,"(7, 0)",land,472,100.0,0.5,0.1
4,"(7, 2)",land,492,100.0,0.5,0.1
4,"(7, 4)",land,494,100.0,0.5,0.1
4,"(7, 6)",land,499,100.0,0.5,0.1
4,"(7, 8)",land,368,100.0,0.5,0.1
4,"(8, 8)",land,386,100.0,0.5,0.1
4,"(8, 9)",land,471,100.0,0.5,0.1
4,"(9, 1)",land,403,100.0,0.5,0.1
4,"(9, 2)",land,420,100.0,0.5,0.1
5,"(0, 7)",land,383,100.0,0.5,0.1
