step,position,health_level,resource_level,air_pollution,ground_pollution
0,"(0, 3)",100.0,100,0.0,0.0
0,"(0, 4)",100.0,100,8.245018450184503,3.16549815498155
0,"(0, 5)",100.0,100,10.998561151079135,4.222661870503598
0,"(1, 2)",100.0,100,0.0,0.0
0,"(1, 3)",100.0,100,8.245018450184503,3.16549815498155
0,"(1, 5)",100.0,100,0.0,0.0
0,"(1, 7)",100.0,100,0.0,0.0
0,"(2, 1)",100.0,100,8.245018450184503,3.16549815498155
0,"(2, 5)",100.0,100,8.245018450184503,3.16549815498155
0,"(2, 6)",100.0,100,0.0,0.0
0,"(4, 2)",100.0,100,8.245018450184503,3.16549815498155
0,"(4, 5)",100.0,100,0.0,0.0
0,"(4, 8)",100.0,100,10.998561151079135,4.222661870503598
0,"(5, 4)",100.0,100,0.0,0.0
0,"(5, 7)",100.0,100,0.0,0.0
0,"(6, 0)",100.0,100,10.998561151079135,4.222661870503598
0,"(6, 1)",100.0,100,0.0,0.0
0,"(6, 2)",100.0,100,0.0,0.0
0,"(6, 6)",100.0,100,0.0,0.0
0,"(6, 9)",100.0,100,0.0,0.0
0,"(7, 5)",100.0,100,0.0,0.0
0,"(7, 7)",100.0,100,0.0,0.0
0,"(8, 1)",100.0,100,0.0,0.0
0,"(8, 3)",100.0,100,10.998561151079135,4.222661870503598
0,"(8, 4)",100.0,100,10.998561151079135,4.222661870503598
0,"(8, 9)",100.0,100,0.0,0.0
0,"(9, 0)",100.0,100,0.0,0.0
0,"(9, 5)",100.0,100,0.0,0.0
0,"(9, 6)",100.0,100,0.0,0.0
1,"(0, 3)",100.0,100,1.508755275061522,0.5582057741996592
1,"(0, 4)",100.0,100,17.65718540238258,9.8127066777927
1,"(0, 5)",100.0,100,23.195866240030824,12.96041480299922
1,"(1, 2)",100.0,100,0.6464958911258328,0.23918904900470267
1,"(1, 3)",100.0,100,16.501037060662114,9.431309531790435
1,"(1, 5)",100.0,100,0.6464958911258328,0.23918904900470267
1,"(1, 7)",100.0,100,1.952252171236052,0.6732702020797455
1,"(2, 1)",100.0,100,16.501037060662114,9.384389339783935
1,"(2, 5)",100.0,100,16.501037060662114,9.384389339783935
1,"(2, 6)",100.0,100,1.952252171236052,0.6732702020797455
1,"(4, 2)",100.0,100,17.160648708730655,9.628912101708499
1,"(4, 5)",100.0,100,0.6495343411738098,0.20134839649668046
1,"(4, 8)",100.0,100,24.7241740180977,13.526745851739992
1,"(5, 4)",100.0,100,0.6513574130111058,0.21146351474778108
1,"(5, 7)",100.0,100,2.167771429274395,0.8020270410764084
1,"(6, 0)",100.0,100,22.02137549031508,12.52487481469801
1,"(6, 1)",100.0,100,0.0,0.0
1,"(6, 2)",100.0,100,0.0,0.0
1,"(6, 6)",100.0,100,0.6495343411738098,0.24031320769990844
1,"(6, 9)",100.0,100,0.0,0.0
1,"(7, 5)",100.0,100,0.0,0.0
1,"(7, 7)",100.0,100,0.0,0.0
1,"(8, 1)",100.0,100,2.025210625924255,0.7492827259976459
1,"(8, 3)",100.0,100,24.064309284896456,13.28222856293025
1,"(8, 4)",100.0,100,22.02137549031508,12.52487481469801
1,"(8, 9)",100.0,100,0.0,0.0
1,"(9, 0)",100.0,100,1.1584151446026205,0.4285877460220633
1,"(9, 5)",100.0,100,0.0,0.0
1,"(9, 6)",100.0,100,1.1584151446026205,0.4285877460220633
2,"(0, 3)",100.0,100,3.8521330233524895,2.0077914319424957
2,"(0, 4)",100.0,100,25.908205786800913,19.49216714243581
2,"(0, 5)",100.0,100,33.567177714292086,25.50919268987153
2,"(1, 2)",100.0,100,1.5983160853870657,0.841755565996549
2,"(1, 3)",100.0,100,22.969475275623516,18.138751606577866
