step,co2_level,total_population,average_pollution,average_health
0,0.0,0,16.926783886402756,100.0
1,0.0,0,32.39109735244106,100.0
2,0.0,0,46.91377391602987,100.0
3,0.0,0,60.8944265558319,100.0
4,0.0,0,74.59766890366315,100.0
5,0.0,0,88.23741277688784,100.0
6,0.0,0,101.89691942119165,100.0
7,0.0,0,115.66931830853757,100.0
8,0.0,0,129.62402817017673,100.0
9,0.0,0,143.82568185553208,100.0
10,0.0,0,158.30830667939628,100.0
11,0.0,0,173.10975613898793,100.0
12,0.0,0,188.26306595285266,100.0
13,0.0,0,203.79774232593059,100.0
14,0.0,0,219.79747083211342,100.0
15,0.0,0,236.27938577486657,100.0
16,0.0,0,253.26090749391938,100.0
17,0.0,0,270.81618674943576,100.0
18,0.0,0,289.0114165885374,100.0
19,0.0,0,307.84983743736024,100.0
20,0.0,0,327.3943066770492,100.0
21,0.0,0,347.70169480556456,100.0
22,0.0,0,368.82416907257846,100.0
23,0.0,0,390.8100678155261,100.0
24,0.0,0,413.70450413125,100.0
25,0.0,0,437.54979182303157,100.0
26,0.0,0,462.44264399941056,100.0
27,0.0,0,488.4130906577417,100.0
28,0.0,0,515.5480178252503,100.0
29,0.0,0,543.8693103291457,100.0
30,0.0,0,573.4568840578596,100.0
31,0.0,0,604.3833863284829,100.0
32,0.0,0,636.7156893841037,100.0
33,0.0,0,670.572807134024,100.0
34,0.0,0,706.005281330919,100.0
35,0.0,0,743.1190492576632,100.0
36,0.0,0,782.010698849172,100.0
37,0.0,0,822.7693371749384,100.0
38,0.0,0,865.477870607642,100.0
39,0.0,0,910.2138976952409,100.0
40,0.0,0,957.1072470402601,100.0
41,0.0,0,1006.2760196256733,100.0
42,0.0,0,1057.828987854513,100.0
43,0.0,0,1111.9241351510618,100.0
44,0.0,0,1168.6484636087832,100.0
45,0.0,0,1228.142172880929,100.0
46,0.0,0,1290.5341391659897,100.0
47,0.0,0,1356.0008568083813,100.0
48,0.0,0,1424.7034236848956,100.0
49,0.0,0,1496.790582576336,100.0
50,0.0,0,1572.4577087798366,100.0
51,0.0,0,1651.8838345048769,100.0
52,0.0,0,1735.2347284425023,100.0
53,0.0,0,1822.7219228458034,100.0
54,0.0,0,1914.5397765612213,100.0
55,0.0,0,2010.9254969311046,100.0
56,0.0,0,2112.0968687410373,100.0
57,0.0,0,2218.3127250620655,100.0
58,0.0,0,2329.8109819059946,100.0
59,0.0,0,2446.8693222375164,100.0
60,0.0,0,2569.743382775959,100.0
61,0.0,0,2698.727551125381,100.0
62,0.0,0,2834.150144414785,100.0
63,0.0,0,2976.3129376289658,100.0
64,0.0,0,3125.5528674814896,100.0
65,0.0,0,3282.237830188716,100.0
66,0.0,0,3446.76354568626,100.0
67,0.0,0,3619.4642297109413,100.0
68,0.0,0,3800.796586135569,100.0
69,0.0,0,3991.2084952277078,100.0
70,0.0,0,4191.139584104542,100.0
71,0.0,0,4401.054001328702,100.0
72,0.0,0,4621.438026379855,100.0
73,0.0,0,4852.855104681014,100.0
74,0.0,0,5095.822990654625,100.0
75,0.0,0,5350.935850865129,100.0
76,0.0,0,5618.798046517127,100.0
77,0.0,0,5900.02474392887,100.0
78,0.0,0,6195.298997076545,100.0
79,0.0,0,6505.364121903068,100.0
80,0.0,0,6830.904122538016,100.0
81,0.0,0,7172.724957515397,100.0
82,0.0,0,7531.625467790341,100.0
83,0.0,0,7908.458064998598,100.0
84,0.0,0,8304.12357508142,100.0
85,0.0,0,8719.567199504392,100.0
86,0.0,0,9155.775236030042,100.0
87,0.0,0,9613.772322852788,100.0
88,0.0,0,10094.675958663307,100.0
89,0.0,0,10599.629947821652,100.0
90,0.0,0,11129.861421065161,100.0
91,0.0,0,11686.615985333,100.0
92,0.0,0,12271.215925905393,100.0
93,0.0,0,12885.053102700405,100.0
94,0.0,0,13529.583332568975,100.0
95,0.0,0,14206.321785875802,100.0
96,0.0,0,14916.895993719047,100.0
97,0.0,0,15662.97801120737,100.0
98,0.0,0,16446.34032053896,100.0
99,0.0,0,17268.903798299863,100.0
